movie_name,language,budget(in Cr),profit_percent
Gadar 2,Hindi,85,709.1764562270221
Pathaan,Hindi,250,320.32001953125
Jawan,Hindi,300,284
OMG 2,Hindi,65,238.46153846153845
Jailer,Tamil,180,236.55554877387152
Leo,Tamil,225,171.64444986979166
Rocky Aur Rani Kii Prem Kahaani,Hindi,150,138
Dream Girl 2,Hindi,60,130
Tu Jhoothi Main Makkaar,Hindi,100,120
Satyaprem Ki Katha,Hindi,65,92.3076923076923
Waltair Veerayya,Telugu,125,85.6
Dasara,Telugu,65,77.38462007962741
Bhagavanth Kesari,Telugu,75,68.53333536783855
Varisu,Tamil,180,68.33333333333333
Kisi Ka Bhai Kisi Ki Jaan,Hindi,115,60.86956521739131
Thunivu,Tamil,125,60.319995117187496
Veera Simha Reddy,Telugu,85,55.88235294117647
Maaveeran,Tamil,55,47.45454268022017
Kushi,Telugu,55,40.72727550159801
Ponniyin Selvan: Part Two,Tamil,250,37.6
Bholaa,Hindi,100,22
Tiger 3,Hindi,300,8.26666259765625
Skanda: The Attacker,Telugu,55,6.727274114435369
Bro,Telugu,110,0.7272755015980114
Adipurush,"Telugu, Hindi",400,-1.25
Chandramukhi 2,Tamil,60,-4.166666666666666
Jigarthanda Double X,Tamil,55,-10.181815407492897
Tiger Nageswara Rao,Telugu,55,-11.272728659889914
Shehzada,Hindi,65,-24.615384615384617
Mission Raniganj,Hindi,65,-33.84615384615385
Kabzaa,Kannada,100,-54.599998474121094
Japan,Tamil,60,-59.33333079020182
Bholaa Shankar,Telugu,110,-59.54545454545455
Selfiee,Hindi,115,-78.17391437032948
Agent,Telugu,65,-79.69230651855469
Ganapath,Hindi,150,-88
